"V1","V2","V3","V4"
0.791392559189658,0.526393952511331,1,6
0.453007031654354,0.657159910163203,1,6
0.634062482157832,0.677179354484494,0,4
0.659594723561367,0.542415828134065,1,3
0.88005392886994,0.787296698171052,1,7
0.58706521121572,0.668650244002095,1,1
0.488560971196836,0.804644237055754,1,7
0.599314691061274,0.699791546683546,0,0
0.698207335701715,0.852093697900539,1,2
0.790985501887286,0.714711445602877,1,7
0.742931417300714,0.772213337578434,0,3
0.646261573641331,0.694355142599259,1,7
0.841341936077676,0.587587624515846,1,4
0.589923670660555,0.748858125912795,0,7
0.634146064699406,0.68898721598328,0,0
0.855954736229065,0.789412763402364,1,8
0.542537423009474,0.921270808942519,1,1
0.57975498764095,0.690274276051926,0,3
0.594766838576696,0.762657491408686,1,8
0.535332946800634,0.918390657757885,1,2
0.794461126890994,0.601214370983324,0,5
0.636996642541109,0.620953073955775,1,8
0.51807657508425,0.6758714581563,1,3
0.592980014785523,0.70709509518491,0,2
0.827519429485407,0.684402557929348,1,5
0.443893392856488,0.77893877234538,0,3
0.660042252601271,0.615163319845148,0,8
0.604818590293805,0.719027681194495,1,6
0.841060668502235,0.625299298676538,1,7
0.785209179350384,0.832792974252142,0,5
0.623279959869333,0.660684418512114,1,2
0.761947156240477,0.808136149284635,0,9
0.712963350967782,0.668648441260388,0,4
0.551906683162359,0.604188514000658,1,1
0.578720066940431,0.643098280485213,1,6
0.650197993640156,0.735113818923793,1,1
0.766391756500662,0.761593672465686,1,9
0.480476765610554,0.844450691722862,1,1
0.809940813243208,0.695517518073604,0,6
0.689652745476306,0.749027299526573,0,1
0.743434394749635,0.756286611908567,1,6
0.756681011731717,0.600250143722247,0,2
0.784242526184991,0.68515033157694,0,7
0.670846914678086,0.987803633270297,1,9
0.442014992672408,0.935738717501027,1,9
0.746499060692478,0.671432087134105,0,4
0.53724374178277,0.711572836460262,0,2
0.759205348679299,0.657258230027131,0,4
0.561537615156774,0.693259694277611,1,4
0.640851377001946,0.826764803313683,0,5
0.759067774888379,0.849194187751917,1,6
0.557256232149844,0.733719913142759,1,8
0.718026083862526,0.643557528634173,1,9
0.855165851502211,0.634531878716026,1,6
0.657923155172247,0.762050715332026,0,5
0.753920546503622,0.716218854171778,1,8
0.788510333629995,0.726218795063466,0,8
0.816948585833095,0.775394123880605,1,4
0.728293717117182,0.665806862695228,1,6
0.67930467127144,0.81067072646496,1,5
0.661189103912845,0.765206514647374,1,2
0.914798529358417,0.530056977300987,1,0
0.698834879132033,0.754423703958677,0,3
0.586029147990777,0.579197198611834,1,6
0.747316260063294,0.613779007610398,0,7
0.850132847829415,0.580013322945019,1,8
0.610816278311441,0.604998887422833,1,5
0.765483902093226,0.744825652032331,1,6
