"rep","dens","rand","rich","species","n","n.I","max.dI","tmax.dI","n.E","FOI","pE","pI","comp_Abund","comp_relAbund","comp_nI","pcomp_Abund","comp.i","n.Eweighted","p.Eweighted"
4,"sub",FALSE,4,"3",60,19,4,3,47,0.0583330217253113,0.783333333333333,0.556666666666667,153.3,0.511,116.9,2.555,0.2,9.4,0.0313333333333333
4,"sub",FALSE,4,"4",42,3,0,2,35,0.0151624548736462,0.833333333333333,0.556666666666667,153.3,0.511,116.9,3.65,0.1,3.5,0.0116666666666667
4,"sub",FALSE,4,"tot",300,167,36,3,237,0.138872494219432,0.79,0.556666666666667,153.3,0.511,116.9,0.511,NA,122.4,0.408
4,"sub",FALSE,6,"1",95,69,29,3,63,1.83658933658934,0.663157894736842,0.4,130.7,0.435666666666667,80.3,1.37578947368421,1,63,0.21
4,"sub",FALSE,6,"2",73,27,5,7,45,0.153101294065149,0.616438356164384,0.4,130.7,0.435666666666667,80.3,1.79041095890411,0.3,13.5,0.045
4,"sub",FALSE,6,"3",51,14,5,5,31,0.112079114669178,0.607843137254902,0.4,130.7,0.435666666666667,80.3,2.56274509803922,0.2,6.2,0.0206666666666667
4,"sub",FALSE,6,"4",36,4,0,2,24,0.0456852791878173,0.666666666666667,0.4,130.7,0.435666666666667,80.3,3.63055555555556,0.1,2.4,0.008
4,"sub",FALSE,6,"5",26,4,0,2,16,0.0642292490118577,0.615384615384615,0.4,130.7,0.435666666666667,80.3,5.02692307692308,0,0,0
4,"sub",FALSE,6,"6",19,2,0,2,12,0.0636973180076628,0.631578947368421,0.4,130.7,0.435666666666667,80.3,6.87894736842105,0,0,0
4,"sub",FALSE,6,"tot",300,120,30,3,191,0.172879117824214,0.636666666666667,0.4,130.7,0.435666666666667,80.3,0.435666666666667,NA,85.1,0.283666666666667
5,"sub",FALSE,1,"1",300,300,94,5,270,1.12233445566779,0.9,1,300,1,300,1,1,270,0.9
5,"sub",FALSE,1,"tot",300,300,94,5,270,1.12233445566779,0.9,1,300,1,300,1,NA,270,0.9
5,"sub",FALSE,2,"1",168,165,47,3,148,1.11522048364154,0.880952380952381,0.806666666666667,207.6,0.692,188.1,1.23571428571429,1,148,0.493333333333333
5,"sub",FALSE,2,"2",132,77,8,3,116,0.0946304394580257,0.878787878787879,0.806666666666667,207.6,0.692,188.1,1.57272727272727,0.3,34.8,0.116
5,"sub",FALSE,2,"tot",300,242,55,3,264,0.24873625932761,0.88,0.806666666666667,207.6,0.692,188.1,0.692,NA,182.8,0.609333333333333
