"rep","dens","rand","rich","species","n","n.I","pI","max.dI","tmax.dI","n.E","FOI"
6,"sub",FALSE,4,"1",142,120,0.845070422535211,40,3,109,1.69716353842269
6,"sub",FALSE,4,"2",102,61,0.598039215686274,10,5,74,0.1262129599479
6,"sub",FALSE,4,"3",82,25,0.304878048780488,3,3,61,0.0434770147884902
6,"sub",FALSE,4,"4",66,6,0.0909090909090909,0,2,54,0.0103432063939821
6,"sub",FALSE,4,"tot",392,212,0.540816326530612,48,3,298,0.100320330337066
6,"sub",FALSE,6,"1",115,74,0.643478260869565,29,3,65,3.1301775147929
6,"sub",FALSE,6,"2",83,23,0.27710843373494,5,3,44,0.128403465346535
6,"sub",FALSE,6,"3",65,16,0.246153846153846,5,3,35,0.10259004451639
6,"sub",FALSE,6,"4",54,7,0.12962962962963,0,2,33,0.0387414164189812
6,"sub",FALSE,6,"5",43,6,0.13953488372093,0,2,30,0.0230610561056106
6,"sub",FALSE,6,"6",32,3,0.09375,0,2,21,0.029458532094736
6,"sub",FALSE,6,"tot",392,129,0.329081632653061,39,3,228,0.113635637362989
7,"sub",FALSE,1,"1",392,392,1,125,5,353,1.23316935373849
7,"sub",FALSE,1,"tot",392,392,1,125,5,353,1.23316935373849
7,"sub",FALSE,2,"1",228,228,1,66,3,203,1.26147200854182
7,"sub",FALSE,2,"2",164,136,0.829268292682927,20,5,150,0.129298550724638
7,"sub",FALSE,2,"tot",392,364,0.928571428571429,80,5,353,0.298754839209479
7,"sub",FALSE,4,"1",144,135,0.9375,42,3,121,1.41629670104501
7,"sub",FALSE,4,"2",102,56,0.549019607843137,11,5,82,0.0799822105706662
7,"sub",FALSE,4,"3",81,28,0.345679012345679,4,5,64,0.037654958677686
7,"sub",FALSE,4,"4",65,7,0.107692307692308,0,2,51,0.0138426200581086
7,"sub",FALSE,4,"tot",392,226,0.576530612244898,50,3,318,0.0878579598734582
7,"sub",FALSE,6,"1",115,84,0.730434782608696,32,3,73,2.48170388440608
7,"sub",FALSE,6,"2",83,28,0.337349397590361,6,5,54,0.0884750438926511
7,"sub",FALSE,6,"3",65,12,0.184615384615385,2,11,42,0.0431606905710491
7,"sub",FALSE,6,"4",54,5,0.0925925925925926,0,2,36,0.0276639344262295
7,"sub",FALSE,6,"5",43,3,0.0697674418604651,0,2,30,0.0234972677595628
7,"sub",FALSE,6,"6",32,7,0.21875,0,2,17,0.0594427244582043
7,"sub",FALSE,6,"tot",392,139,0.354591836734694,38,3,252,0.0887409872434831
8,"sub",FALSE,1,"1",392,392,1,114,5,353,1.23316935373849
8,"sub",FALSE,1,"tot",392,392,1,114,5,353,1.23316935373849
8,"sub",FALSE,2,"1",228,228,1,73,3,205,1.23697798929209
8,"sub",FALSE,2,"2",164,133,0.810975609756098,22,7,148,0.122917746770958
8,"sub",FALSE,2,"tot",392,361,0.920918367346939,91,3,353,0.28552980960913
8,"sub",FALSE,4,"1",141,137,0.971631205673759,29,3,123,1.3140987507436
8,"sub",FALSE,4,"2",103,57,0.553398058252427,7,4,84,0.067115551694179
8,"sub",FALSE,4,"3",82,24,0.292682926829268,3,3,68,0.0286262873101763
8,"sub",FALSE,4,"4",66,6,0.0909090909090909,0,2,53,0.0122086570477248
8,"sub",FALSE,4,"tot",392,224,0.571428571428571,34,3,328,0.0753762324857291
8,"sub",FALSE,6,"1",115,90,0.782608695652174,39,3,80,2.06640625
8,"sub",FALSE,6,"2",81,29,0.358024691358025,6,5,60,0.0527441860465116
8,"sub",FALSE,6,"3",67,25,0.373134328358209,5,5,51,0.0436544295807627
8,"sub",FALSE,6,"4",54,7,0.12962962962963,0,2,37,0.0244441485820796
8,"sub",FALSE,6,"5",43,2,0.0465116279069767,0,2,33,0.0149430080622741
8,"sub",FALSE,6,"6",32,3,0.09375,0,2,21,0.0298254533129978
8,"sub",FALSE,6,"tot",392,156,0.397959183673469,45,3,282,0.0690926427174907
9,"sub",FALSE,1,"1",392,392,1,130,5,353,1.23316935373849
9,"sub",FALSE,1,"tot",392,392,1,130,5,353,1.23316935373849
9,"sub",FALSE,2,"1",231,231,1,76,3,209,1.22160664819945
9,"sub",FALSE,2,"2",161,117,0.726708074534162,15,7,141,0.0956852490193748
9,"sub",FALSE,2,"tot",392,348,0.887755102040816,87,3,350,0.239561243144424
9,"sub",FALSE,4,"1",142,123,0.866197183098592,41,3,108,1.72873799725652
9,"sub",FALSE,4,"2",101,62,0.613861386138614,8,3,82,0.0939210372495882
9,"sub",FALSE,4,"3",82,31,0.378048780487805,3,5,66,0.0388257575757576
9,"sub",FALSE,4,"4",67,5,0.0746268656716418,0,2,56,0.0092032967032967
9,"sub",FALSE,4,"tot",392,221,0.563775510204082,51,3,312,0.0888713518303151
9,"sub",FALSE,6,"1",113,79,0.699115044247788,31,3,70,2.60591836734694
9,"sub",FALSE,6,"2",84,40,0.476190476190476,13,3,60,0.0967336683417085
