"trayID","horiz","vert","ID","x","y","rand","dens","richness","rep","SD","spID","state0","day_infected"
4,1,"D","ID52",0.445,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,2,"D","ID53",3.245,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,3,"D","ID54",6.045,15.9448,"det","add",1,4,0.5,"radish","C",NA
4,4,"D","ID55",8.845,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,5,"D","ID56",11.645,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,6,"D","ID57",14.445,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,7,"D","ID58",17.245,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,8,"D","ID59",20.045,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,9,"D","ID60",22.845,15.9448,"det","add",1,4,0.5,"radish","S",NA
4,1.5,"C","ID61",1.845,18.3697,"det","add",1,4,0.5,"radish","S",NA
4,2.5,"C","ID62",4.645,18.3697,"det","add",1,4,0.5,"radish","S",NA
4,3.5,"C","ID63",7.445,18.3697,"det","add",1,4,0.5,"radish","S",NA
