ID,x,y,trayID,rand,dens,richness,rep,SD,spID,comp,state0
ID42,20.045,11.095051547761427,1,det,add,1,1,0.5,radish,1,S
ID43,22.845000000000002,11.095051547761427,1,det,add,1,1,0.5,radish,1,S
ID44,1.845000000000001,13.519922678357853,1,det,add,1,1,0.5,radish,1,S
ID45,4.645000000000001,13.519922678357856,1,det,add,1,1,0.5,radish,1,C
ID46,7.445000000000002,13.519922678357855,1,det,add,1,1,0.5,radish,1,S
ID47,10.245,13.519922678357855,1,det,add,1,1,0.5,radish,1,C
ID48,13.045,13.519922678357855,1,det,add,1,1,0.5,radish,1,S
ID49,15.844999999999999,13.519922678357855,1,det,add,1,1,0.5,radish,1,S
ID50,18.644999999999992,13.519922678357851,1,det,add,1,1,0.5,radish,1,S
ID51,21.444999999999997,13.519922678357851,1,det,add,1,1,0.5,radish,1,C
ID52,0.44500000000000095,15.944793808954282,1,det,add,1,1,0.5,radish,1,C
ID53,3.245000000000001,15.944793808954282,1,det,add,1,1,0.5,radish,1,S
ID54,6.045000000000001,15.944793808954282,1,det,add,1,1,0.5,radish,1,S
ID55,8.844999999999999,15.944793808954282,1,det,add,1,1,0.5,radish,1,S
ID56,11.645000000000001,15.944793808954282,1,det,add,1,1,0.5,radish,1,S
ID57,14.445,15.944793808954282,1,det,add,1,1,0.5,radish,1,S
ID58,17.244999999999994,15.944793808954282,1,det,add,1,1,0.5,radish,1,S
ID59,20.045,15.944793808954286,1,det,add,1,1,0.5,radish,1,S
ID60,22.845,15.944793808954286,1,det,add,1,1,0.5,radish,1,S
ID61,1.845000000000001,18.36966493955071,1,det,add,1,1,0.5,radish,1,S
ID62,4.645,18.36966493955071,1,det,add,1,1,0.5,radish,1,S
ID63,7.445000000000002,18.36966493955071,1,det,add,1,1,0.5,radish,1,C
ID64,10.245,18.36966493955071,1,det,add,1,1,0.5,radish,1,S
ID65,13.044999999999998,18.36966493955071,1,det,add,1,1,0.5,radish,1,S
ID66,15.844999999999999,18.36966493955071,1,det,add,1,1,0.5,radish,1,S
ID67,18.644999999999996,18.36966493955071,1,det,add,1,1,0.5,radish,1,S
ID68,21.445,18.36966493955071,1,det,add,1,1,0.5,radish,1,S
ID69,0.44500000000000095,20.79453607014714,1,det,add,1,1,0.5,radish,1,S
ID70,3.245000000000001,20.79453607014714,1,det,add,1,1,0.5,radish,1,S
ID71,6.045,20.79453607014714,1,det,add,1,1,0.5,radish,1,S
ID72,8.844999999999999,20.794536070147135,1,det,add,1,1,0.5,radish,1,S
ID73,11.645,20.794536070147135,1,det,add,1,1,0.5,radish,1,S
ID74,14.444999999999999,20.794536070147135,1,det,add,1,1,0.5,radish,1,S
ID75,17.244999999999997,20.79453607014714,1,det,add,1,1,0.5,radish,1,S
