"rep","rand","dens","Dist","richness","order","nind","comp","species","SD","ID","trayID"
7,"stoch","sub",1.7,1,"V6",0,0.2,"sp_3",0.5,"7.stoch.sub.1",37
7,"stoch","sub",1.7,2,"V1",138,0,"sp_5",0.5,"7.stoch.sub.2",80
7,"stoch","sub",1.7,2,"V2",100,0.1,"sp_4",0.5,"7.stoch.sub.2",80
7,"stoch","sub",1.7,2,"V3",0,0.3,"sp_2",0.5,"7.stoch.sub.2",80
7,"stoch","sub",1.7,2,"V4",0,1,"sp_1",0.5,"7.stoch.sub.2",80
7,"stoch","sub",1.7,2,"V5",0,0,"sp_6",0.5,"7.stoch.sub.2",80
7,"stoch","sub",1.7,2,"V6",0,0.2,"sp_3",0.5,"7.stoch.sub.2",80
7,"stoch","sub",1.7,4,"V1",86,0,"sp_5",0.5,"7.stoch.sub.4",123
7,"stoch","sub",1.7,4,"V2",61,0.1,"sp_4",0.5,"7.stoch.sub.4",123
7,"stoch","sub",1.7,4,"V3",50,0.3,"sp_2",0.5,"7.stoch.sub.4",123
7,"stoch","sub",1.7,4,"V4",41,1,"sp_1",0.5,"7.stoch.sub.4",123
7,"stoch","sub",1.7,4,"V5",0,0,"sp_6",0.5,"7.stoch.sub.4",123
7,"stoch","sub",1.7,4,"V6",0,0.2,"sp_3",0.5,"7.stoch.sub.4",123
7,"stoch","sub",1.7,6,"V1",68,0,"sp_5",0.5,"7.stoch.sub.6",166
7,"stoch","sub",1.7,6,"V2",50,0.1,"sp_4",0.5,"7.stoch.sub.6",166
7,"stoch","sub",1.7,6,"V3",40,0.3,"sp_2",0.5,"7.stoch.sub.6",166
7,"stoch","sub",1.7,6,"V4",33,1,"sp_1",0.5,"7.stoch.sub.6",166
7,"stoch","sub",1.7,6,"V5",27,0,"sp_6",0.5,"7.stoch.sub.6",166
7,"stoch","sub",1.7,6,"V6",20,0.2,"sp_3",0.5,"7.stoch.sub.6",166
8,"stoch","sub",1.7,1,"V1",238,0,"sp_6",0.5,"8.stoch.sub.1",38
8,"stoch","sub",1.7,1,"V2",0,0.1,"sp_4",0.5,"8.stoch.sub.1",38
8,"stoch","sub",1.7,1,"V3",0,1,"sp_1",0.5,"8.stoch.sub.1",38
8,"stoch","sub",1.7,1,"V4",0,0,"sp_5",0.5,"8.stoch.sub.1",38
8,"stoch","sub",1.7,1,"V5",0,0.2,"sp_3",0.5,"8.stoch.sub.1",38
8,"stoch","sub",1.7,1,"V6",0,0.3,"sp_2",0.5,"8.stoch.sub.1",38
8,"stoch","sub",1.7,2,"V1",138,0,"sp_6",0.5,"8.stoch.sub.2",81
8,"stoch","sub",1.7,2,"V2",100,0.1,"sp_4",0.5,"8.stoch.sub.2",81
8,"stoch","sub",1.7,2,"V3",0,1,"sp_1",0.5,"8.stoch.sub.2",81
8,"stoch","sub",1.7,2,"V4",0,0,"sp_5",0.5,"8.stoch.sub.2",81
8,"stoch","sub",1.7,2,"V5",0,0.2,"sp_3",0.5,"8.stoch.sub.2",81
8,"stoch","sub",1.7,2,"V6",0,0.3,"sp_2",0.5,"8.stoch.sub.2",81
8,"stoch","sub",1.7,4,"V1",86,0,"sp_6",0.5,"8.stoch.sub.4",124
