Date/Time,Unit,Value,button
11/8/20 16:04,C,21.5,back
11/8/20 16:34,C,23.5,back
11/8/20 17:04,C,23,back
11/8/20 17:34,C,22.5,back
11/8/20 18:04,C,22,back
11/8/20 18:34,C,22,back
11/8/20 19:04,C,22,back
11/8/20 19:34,C,22,back
11/8/20 20:04,C,21.5,back
11/8/20 20:34,C,23.5,back
11/8/20 21:04,C,22.5,back
11/8/20 21:34,C,19,back
11/8/20 22:04,C,19.5,back
11/8/20 22:34,C,19.5,back
11/8/20 23:04,C,19.5,back
11/8/20 23:34,C,19.5,back
11/9/20 0:04,C,19,back
11/9/20 0:34,C,19.5,back
11/9/20 1:04,C,19,back
11/9/20 1:34,C,19,back
11/9/20 2:04,C,19.5,back
11/9/20 2:34,C,19,back
11/9/20 3:04,C,19,back
11/9/20 3:34,C,19,back
11/9/20 4:04,C,19.5,back
11/9/20 4:34,C,19,back
11/9/20 5:04,C,19.5,back
11/9/20 5:34,C,24,back
11/9/20 6:04,C,23,back
11/9/20 6:34,C,23.5,back
11/9/20 7:04,C,20,back
11/9/20 7:34,C,17.5,back
11/9/20 8:04,C,17,back
11/9/20 8:34,C,22.5,back
11/9/20 9:04,C,17.5,back
11/9/20 9:34,C,17,back
11/9/20 10:04,C,16.5,back
11/9/20 10:34,C,17,back
11/9/20 11:04,C,19.5,back
11/9/20 11:34,C,19,back
11/9/20 12:04,C,20,back
11/9/20 12:34,C,19.5,back
11/9/20 13:04,C,20,back
11/9/20 13:34,C,18.5,back
11/9/20 14:04,C,20.5,back
11/9/20 14:34,C,16,back
11/9/20 15:04,C,15,back
11/9/20 15:34,C,16,back
11/9/20 16:04,C,22,back
11/9/20 16:34,C,23.5,back
11/9/20 17:04,C,23.5,back
11/9/20 17:34,C,23,back
11/9/20 18:04,C,23,back
11/9/20 18:34,C,22.5,back
11/9/20 19:04,C,22,back
11/9/20 19:34,C,21.5,back
11/9/20 20:04,C,21.5,back
11/9/20 20:34,C,18,back
11/9/20 21:04,C,21.5,back
11/9/20 21:34,C,19.5,back
11/9/20 22:04,C,20,back
11/9/20 22:34,C,20,back
11/9/20 23:04,C,20,back
11/9/20 23:34,C,20,back
11/10/20 0:04,C,19.5,back
11/10/20 0:34,C,19.5,back
11/10/20 1:04,C,19.5,back
11/10/20 1:34,C,19,back
11/10/20 2:04,C,19.5,back
11/10/20 2:34,C,19.5,back
11/10/20 3:04,C,19,back
11/10/20 3:34,C,19,back
11/10/20 4:04,C,19,back
11/10/20 4:34,C,19,back
11/10/20 5:04,C,19,back
11/10/20 5:34,C,24,back
11/10/20 6:04,C,23,back
11/10/20 6:34,C,24,back
11/10/20 7:04,C,21.5,back
11/10/20 7:34,C,23,back
11/10/20 8:04,C,18,back
11/10/20 8:34,C,16.5,back
11/10/20 9:04,C,14.5,back
11/10/20 9:34,C,12.5,back
11/10/20 10:04,C,14,back
11/10/20 10:34,C,17.5,back
11/10/20 11:04,C,20,back
11/10/20 11:34,C,21.5,back
11/10/20 12:04,C,25,back
11/10/20 12:34,C,31,back
11/10/20 13:04,C,32,back
11/10/20 13:34,C,31,back
11/10/20 14:04,C,30.5,back
11/10/20 14:34,C,22.5,back
11/10/20 15:04,C,25.5,back
11/10/20 15:34,C,22,back
11/10/20 16:04,C,22,back
11/10/20 16:34,C,22,back
11/10/20 17:04,C,22.5,back
11/10/20 17:34,C,23.5,back
11/10/20 18:04,C,23.5,back
11/10/20 18:34,C,24,back
11/10/20 19:04,C,19.5,back
11/10/20 19:34,C,21.5,back
11/10/20 20:04,C,23.5,back
11/10/20 20:34,C,23.5,back
11/10/20 21:04,C,23.5,back
11/10/20 21:34,C,17,back
11/10/20 22:04,C,18.5,back
11/10/20 22:34,C,21,back
11/10/20 23:04,C,17.5,back
11/10/20 23:34,C,16,back
11/11/20 0:04,C,20,back
11/11/20 0:34,C,20.5,back
11/11/20 1:04,C,19.5,back
11/11/20 1:34,C,12.5,back
11/11/20 2:04,C,13.5,back
11/11/20 2:34,C,13,back
11/11/20 3:04,C,12.5,back
11/11/20 3:34,C,12.5,back
11/11/20 4:04,C,12.5,back
11/11/20 4:34,C,14,back
11/11/20 5:04,C,14.5,back
11/11/20 5:34,C,18.5,back
11/11/20 6:04,C,16,back
11/11/20 6:34,C,16,back
11/11/20 7:04,C,15,back
11/11/20 7:34,C,24.5,back
11/11/20 8:04,C,20,back
11/11/20 8:34,C,22,back
11/11/20 9:04,C,22.5,back
11/11/20 9:34,C,21,back
11/11/20 10:04,C,19,back
11/11/20 10:34,C,20,back
11/11/20 11:04,C,20.5,back
11/11/20 11:34,C,20.5,back
